id,categoria,nombre,estado,archivo_url,fotos
29,Autos,BMW M4 - Carroceria,nueva/apagada,,0
30,Autos,BMW M4 G82 escala 1-10 (RC),nueva/apagada,,0
31,Autos,BMW M4 GT3 EVO DTM,nueva/apagada,/files/Car_kits_BMW+M4+GT3+Evo+(V2-removed+spoiler)_563d7ae9.3mf,0
32,Cajas y Organizadores,Bote de Basura,nueva/apagada,/files/trashcan_6970744e.3mf,0
33,Cajas y Organizadores,Bote para Marcadores,nueva/apagada,/files/马克笔+80+色阶梯_768e5ec2.3mf,0
34,Cajas y Organizadores,Caja de Pilas,nueva/apagada,/files/Battery+Storage+Box_3aff26dc.3mf,0
35,Cajas y Organizadores,Caja de Pilas (118 piezas),nueva/apagada,/files/Battery_Box_modell_39e31dad.3mf,0
36,Cajas y Organizadores,Caja de Pilas AA-AAA-9V,nueva/apagada,/files/BoxLoc+-+BatteryBox_S+-+All+The+Things+-+v2_feb11149.3mf,0
37,Cajas y Organizadores,Cajonera Organizadora Apilable,nueva/apagada,/files/drawer+3+v3_e010f4f6.3mf,0
38,Cajas y Organizadores,Cajones Apilables Modulares,nueva/apagada,/files/STACKING_a1755f8a.3mf,0
39,Cajas y Organizadores,Estuche 48 Marcadores Acrilicos,nueva/apagada,/files/Suporte+de+Canetas+Acrílicas+48_365ddadc.3mf,0
40,Cajas y Organizadores,Organizador de Cables con Tornillo,nueva/apagada,/files/clamp_8c8445b6.3mf,0
41,Cajas y Organizadores,Organizador de Escritorio Stealth,nueva/apagada,/files/Tool+Box_83b7bd47.3mf,0
42,Cajas y Organizadores,Portamarcadores Apilable,nueva/apagada,/files/笔架_656374db.3mf,0
43,Cajas y Organizadores,Portamarcadores Horizontal 60 Colores,nueva/apagada,/files/马克笔桶2025022701_88b1d693.3mf,0
44,Cajas y Organizadores,Portamarcadores Universal (24-80 colores),nueva/apagada,/files/马克笔筒8x6_3fe7d03e.3mf,0
45,Cajas y Organizadores,Portaplumas 48 Colores,nueva/apagada,/files/Stifthalter+Farben_42515b0a.3mf,0
46,Cajas y Organizadores,Vaso Portaplumas Skadis (IKEA),nueva/apagada,/files/Skadis+Stiftebecher_7fa5df5e.3mf,0
47,Cosplay,Casco Benjamin Carmine (Gears of War),nueva/apagada,/files/Benjamin_Carmine_helmet_5мм_1c06a247.stl,0
48,Cosplay,Espada Maestra - Zelda BotW,nueva/apagada,/files/Espada_069f0d0e.3mf,0
49,Cosplay,Karambit CS-GO,nueva/apagada,/files/karambitv2_04602d66.3mf,0
50,Cosplay,Mascara Scorpion - Mortal Kombat,nueva/apagada,/files/sc-mkx_bf_-_Copy_aa6e1d86.3mf,0
51,Ender 3 V3,Clip para Filamento,nueva/apagada,/files/Perfect+clip+v4+final+update_4_53318bc4.3mf,0
52,Ender 3 V3,Guia de Filamento PETG,nueva/apagada,/files/PETG+V3+filament+guide_7b537769.3mf,0
53,Ender 3 V3,Guia de Filamento Superior (Ender 3 SE),nueva/apagada,/files/Ender+3+v3+SE+angled+filament+guide+centre+bl_a845d375.3mf,0
54,Fundas,Funda de Espada Maestra - Zelda BotW,nueva/apagada,/files/Funda_9822c56f.3mf,0
55,Fundas,Funda Samsung S23 Ultra - Body y Camara,nueva/apagada,/files/Samsung_S23_ultra_-_Body_-_V4.0_24554d4f.3mf,0
56,Fundas,Funda Samsung S23 Ultra - Cerrada,vendida/apagada,/files/FUNDA_S23ULTRA__D1_CERRADA_FINAL_e65d0bf1.3mf,4
57,Fundas,Funda Samsung S23 Ultra - TPU,nueva/apagada,/files/galaxys23ultra_tpu_(1)_9b6a848e.stl,0
58,Fundas,Funda Samsung S24 Ultra,nueva/apagada,/files/Coque+S24+Ultra_8bf1376c.3mf,0
59,Logos,Llavero Volkswagen,nueva/apagada,/files/Volkswagen_e6ee8c66.3mf,0
60,Logos,Llaveros Banderas Mundial 2026,vendida/apagada,/files/PORTA_MONEDAS_MEXICO_2026_119d5817.3mf,3
61,Logos,Logo ChutAlert,nueva/apagada,/files/Meshy_AI_ChutAlert_Logo_1788237179_generate_21591403.3mf,0
62,Logos,Stencil JA Saira,nueva/apagada,/files/JA_stencil_saira_final_83a75ebc.stl,0
63,Macetas,Dino Portaanillos - Mini Maceta,nueva/apagada,/files/Ringholder_neck_bs_4361d4b5.3mf,0
64,Macetas,Maceta Bonsai Snorlax Gigamax,nueva/apagada,/files/snorlax+bonsai+spot1_b8b40c63.3mf,0
65,Macetas,Maceta Dinosaurio,nueva/apagada,/files/Dinosaur+plant+pot_4c54ad4b.3mf,0
66,Macetas,Maceta Dragon Dormido 25cm,nueva/apagada,/files/Dragon+Planter_1a8e72e3.3mf,0
67,Macetas,Maceta Plantosaurus (Dino con drenaje),nueva/apagada,/files/Dino+Drainage+Tail_152cc382.3mf,0
68,Macetas,Tutores para Plantas 350mm,nueva/apagada,/files/Pflanzenstab_eckig_350mm_5mm_e70baae3.3mf,0
69,Personajes,Angel Rezando,nueva/apagada,/files/angelo+preghiera_8d743a28.3mf,0
70,Personajes,Crayolin,vendida/apagada,/files/crayolin_cd06730b.3mf,3
71,Personajes,Jesus en la Cruz - Llavero,nueva/apagada,/files/Jesus+Cross+3mf_f89ea05f.3mf,0
72,Personajes,Michael Jackson - Bailando,nueva/apagada,/files/obj_1_MJ_dancer__4fd560ec.stl,0
73,Personajes,Michael Jackson - Figura,nueva/apagada,/files/micheal+Jackson+definitivo_-_Copy_33e54f45.3mf,0
74,Personajes,Michael Jackson - Logo 3D,nueva/apagada,/files/mj_8761800f.3mf,0
75,Personajes,Michael Jackson - Smooth Criminal,nueva/apagada,/files/Michael+Jackson+Figüre_(2)_16e29e3d.3mf,0
76,Personajes,spiderman,nueva/apagada,/files/spiderman+multipart_acd5d40f.3mf,0
